District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total
HANUMANGARH,2017,0,0,0,0,69,19,5,0,93
BHARATPUR,2017,0,0,0,0,166,25,0,0,191
SAWAIMADHOPUR,2017,1,1,11,3,27,11,2,1,57
DHOLPUR,2017,0,3,6,9,38,7,1,0,64
KARAULI,2017,0,2,6,5,38,12,5,0,68
JODHPUR CITY EAST,2017,0,0,4,3,10,20,0,0,37
JODHPUR CITY WEST,2017,0,0,1,9,25,10,0,0,45
JODHPUR RURAL,2017,0,0,0,0,31,24,4,0,59
JALORE,2017,0,0,0,0,31,0,0,0,31
JAISALMER,2017,0,1,2,0,5,2,0,0,10
BARMER,2017,0,1,3,9,64,6,1,0,84
PALI,2017,0,0,0,20,41,49,5,0,115
SIROHI,2017,0,0,4,12,19,27,0,0,62
KOTA CITY,2017,0,0,3,9,44,17,0,0,73
KOTA RURAL,2017,0,0,9,6,34,6,0,0,55
BUNDI,2017,0,0,0,16,49,10,0,0,75
JHALAWAR,2017,0,1,7,5,67,15,1,0,97
BARAN,2017,0,7,0,17,65,13,0,0,102
UDAIPUR,2017,0,0,0,0,138,16,0,0,154
BANSWARA,2017,0,0,0,11,40,18,2,0,71
CHITTORGARH,2017,0,0,0,0,53,31,0,0,84
DUNGARPUR,2017,0,1,13,22,39,14,0,0,89
RAJSAMAND,2017,0,0,1,13,16,3,0,0,33
PRATAPGARH,2017,0,0,9,35,44,9,0,0,97
GRP AJMER,2017,0,0,0,0,1,0,0,0,1
GRP JODHPUR,2017,0,0,0,0,0,0,0,0,0
JAIPUR METRO,2017,0,0,0,0,0,0,0,0,0
AJMER,2018,3,2,15,24,86,26,0,0,156
BHILWARA,2018,0,0,0,0,99,45,15,0,159
NAGAUR,2018,0,0,22,14,58,32,6,0,132
TONK,2018,0,0,2,29,18,12,1,0,62
JAIPUR CITY (N),2018,0,0,0,0,18,19,9,0,46
JAIPUR CITY (S),2018,0,2,6,8,64,7,0,0,87
JAIPUR CITY (E),2018,2,1,5,7,54,13,1,0,83
JAIPUR CITY (W),2018,1,0,5,14,51,11,1,0,83
JAIPUR RURAL,2018,0,1,13,15,62,9,0,0,100
JHUNJHUNU,2018,0,1,2,4,47,52,22,0,128
SIKAR,2018,0,2,11,18,45,31,11,0,118
DAUSA,2018,0,0,0,0,80,10,1,0,91
ALWAR,2018,0,3,36,51,216,38,7,0,351
BIKANER,2018,0,0,13,22,53,42,6,0,136
CHURU,2018,0,4,21,14,60,42,0,0,141
SRI GANGANAGAR,2018,1,4,15,17,92,57,1,1,188
HANUMANGARH,2018,1,1,38,18,67,28,1,0,154
BHARATPUR,2018,0,4,19,17,132,31,0,0,203
SAWAIMADHOPUR,2018,0,0,6,3,51,9,13,0,82
DHOLPUR,2018,0,0,11,16,29,16,4,0,76
KARAULI,2018,0,2,8,7,48,32,1,0,98
JODHPUR CITY EAST,2018,0,0,0,0,30,11,0,0,41
JODHPUR CITY WEST,2018,1,2,5,17,22,8,0,0,55
JODHPUR RURAL,2018,0,0,5,21,29,6,0,0,61
JALORE,2018,0,0,0,4,0,51,0,0,55
JAISALMER,2018,0,0,3,4,9,3,0,0,19
BARMER,2018,0,1,11,15,59,19,1,0,106
PALI,2018,0,1,4,5,96,22,0,0,128
SIROHI,2018,0,0,3,14,24,13,8,0,62
KOTA CITY,2018,3,0,10,10,45,18,2,0,88
KOTA RURAL,2018,0,5,0,0,17,19,2,0,43
BUNDI,2018,0,0,0,6,60,9,0,0,75
JHALAWAR,2018,1,2,19,11,72,15,2,0,122
BARAN,2018,0,2,22,18,42,20,2,0,106
UDAIPUR,2018,3,5,12,65,119,40,0,0,244
BANSWARA,2018,0,0,6,7,34,21,8,0,76
CHITTORGARH,2018,0,0,9,20,43,26,0,0,98
DUNGARPUR,2018,0,2,19,17,34,7,1,0,80
RAJSAMAND,2018,0,0,2,14,25,13,0,0,54
PRATAPGARH,2018,1,1,14,28,70,29,2,0,145
GRP AJMER,2018,0,0,0,1,2,0,0,0,3
GRP JODHPUR,2018,0,0,0,0,1,0,0,0,1
JAIPUR METRO,2018,0,0,0,0,0,0,0,0,0
SOG,2018,0,0,0,0,0,1,0,0,1
SSB,2018,0,0,0,0,0,0,0,0,0
CCPS,2018,0,0,0,0,0,0,0,0,0
AJMER,2019,1,4,16,50,135,46,0,0,252
BHILWARA,2019,0,4,10,11,115,56,10,0,206
NAGAUR,2019,0,0,14,29,91,31,5,0,170
TONK,2019,2,2,13,22,65,11,5,0,120
JAIPUR CITY (N),2019,2,3,9,6,12,40,7,0,79
JAIPUR CITY (S),2019,1,0,11,12,105,19,1,0,149
JAIPUR CITY (E),2019,1,0,4,17,90,21,1,0,134
JAIPUR CITY (W),2019,0,2,10,12,125,6,0,0,155
JAIPUR RURAL,2019,0,1,9,20,84,33,0,0,147
JHUNJHUNU,2019,2,2,5,10,42,60,31,0,152
SIKAR,2019,0,3,8,6,101,41,11,0,170
DAUSA,2019,0,1,12,9,91,16,1,0,130
ALWAR,2019,0,3,23,31,126,44,9,0,236
BHIWADI,2019,1,0,3,9,94,27,12,0,146
BIKANER,2019,0,0,18,35,58,95,21,0,227
CHURU,2019,0,1,10,34,77,59,23,0,204
SRI GANGANAGAR,2019,0,4,10,43,140,54,0,0,251
HANUMANGARH,2019,0,5,37,16,95,39,4,0,196
BHARATPUR,2019,0,3,17,11,208,49,0,2,290
SAWAIMADHOPUR,2019,0,1,10,16,55,28,5,0,115
DHOLPUR,2019,1,5,13,10,63,16,0,0,108
KARAULI,2019,0,4,4,8,52,28,5,0,101
JODHPUR CITY EAST,2019,0,0,4,8,35,22,0,0,69
JODHPUR CITY WEST,2019,0,3,9,4,38,7,1,0,62
JODHPUR RURAL,2019,0,0,4,22,52,20,0,0,98
JALORE,2019,0,0,0,10,30,22,22,0,84
JAISALMER,2019,0,0,5,12,21,10,0,0,48
BARMER,2019,0,0,11,28,129,15,0,0,183
PALI,2019,0,3,12,19,75,27,7,0,143
SIROHI,2019,0,0,16,0,56,14,0,0,86
KOTA CITY,2019,0,2,8,12,72,40,1,0,135
KOTA RURAL,2019,0,0,6,15,26,13,2,0,62
BUNDI,2019,0,0,1,12,94,14,0,0,121
JHALAWAR,2019,0,2,23,11,50,71,7,0,164
BARAN,2019,0,3,30,13,60,14,3,0,123
UDAIPUR,2019,0,0,23,44,117,36,0,0,220
BANSWARA,2019,2,5,14,17,140,42,3,0,223
CHITTORGARH,2019,0,0,7,40,56,33,2,0,138
DUNGARPUR,2019,1,0,16,27,51,7,1,0,103
RAJSAMAND,2019,0,0,0,26,44,0,0,0,70
PRATAPGARH,2019,0,4,7,30,90,44,0,0,175
GRP AJMER,2019,1,0,0,0,2,1,0,0,4
GRP JODHPUR,2019,0,0,0,0,1,1,0,0,2
JAIPUR METRO,2019,0,0,0,0,0,0,0,0,0
SOG,2019,0,0,0,0,0,0,0,0,0
SSB,2019,0,0,0,0,0,0,0,0,0
CCPS,2019,0,0,0,0,0,0,0,0,0
AJMER,2020,1,8,16,33,102,43,5,0,208
BHILWARA,2020,0,0,10,13,105,40,5,0,173
NAGAUR,2020,0,0,15,33,71,28,2,0,149
TONK,2020,1,2,6,12,67,10,6,0,104
JAIPUR CITY (N),2020,3,6,6,0,45,17,3,0,80
JAIPUR CITY (S),2020,1,3,8,11,55,21,0,0,99
JAIPUR CITY (E),2020,0,1,4,11,54,28,0,0,98
JAIPUR CITY (W),2020,0,0,5,28,50,40,9,0,132
JAIPUR RURAL,2020,1,2,13,24,64,17,2,0,123
