District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total_Cases,year_total,female_total
BARMER,2019,0,0,11,28,129,15,0,0,183,2864465,1358363
PALI,2019,0,3,12,19,75,27,7,0,143,2241596,1113498
SIROHI,2019,0,0,16,0,56,14,0,0,86,1140116,552392
KOTA,2019,0,2,14,27,98,53,3,0,197,2146369,1022959
BUNDI,2019,0,0,1,12,94,14,0,0,121,1222141,587190
JHALAWAR,2019,0,2,23,11,50,71,7,0,164,1552426,754674
BARAN,2019,0,3,30,13,60,14,3,0,123,1345190,647768
UDAIPUR,2019,0,0,23,44,117,36,0,0,220,3375662,1651976
BANSWARA,2019,2,5,14,17,140,42,3,0,223,1977468,978820
CHITTORGARH,2019,0,0,7,40,56,33,2,0,138,1698973,837383
DUNGARPUR,2019,1,0,16,27,51,7,1,0,103,1527588,761312
RAJSAMAND,2019,0,0,0,26,44,0,0,0,70,1272407,632859
PRATAPGARH,2019,0,4,7,30,90,44,0,0,175,954746,473170
AJMER,2020,1,8,16,33,106,43,5,0,212,2875794,1401648
BHILWARA,2020,0,0,10,13,105,40,5,0,173,2681485,1322401
NAGAUR,2020,0,0,15,33,71,28,2,0,149,3682615,1794043
TONK,2020,1,2,6,12,67,10,6,0,104,1582407,771750
JAIPUR,2020,5,12,36,74,268,123,14,0,532,7377135,3515536
JHUNJHUNU,2020,0,0,0,6,46,32,18,0,102,2379240,1159144
SIKAR,2020,0,0,13,29,49,31,7,0,129,2980760,1449940
DAUSA,2020,0,3,6,7,65,24,9,0,114,1819640,864638
ALWAR,2020,0,5,8,32,66,54,51,0,216,4090580,1931801
BIKANER,2020,0,0,16,34,43,58,15,0,166,2631846,1250423
CHURU,2020,0,0,7,19,86,53,1,0,166,2270693,1100084
SRI GANGANAGAR,2020,0,5,11,22,104,58,0,0,200,2192337,1030754
HANUMANGARH,2020,4,3,30,16,60,57,2,0,172,1975821,939104
BHARATPUR,2020,1,2,17,27,151,58,4,0,260,2837284,1327911
